material_name,category,base_composition,reinforcement,sintering_temp_c,density_g_cm3,notes
Alumina 99.5%,Traditional Ceramic,Al2O3,,1700,3.98,"High purity, standard reference"
Alumina 96%,Traditional Ceramic,Al2O3,,1650,3.9,"Lower purity, more economical"
Alumina 99.9%,Traditional Ceramic,Al2O3,,1750,3.99,Ultra-high purity for electronics
Alumina (Porous),Traditional Ceramic,Al2O3,,1500,2.8,Porous structure for filters
Zirconia (Y-TZP 3mol%),Traditional Ceramic,ZrO2,Y2O3 3mol%,1450,6.05,"Yttria-stabilized, high toughness"
Zirconia (Y-TZP 5mol%),Traditional Ceramic,ZrO2,Y2O3 5mol%,1500,6.0,"Higher yttria content, altered stability"
Zirconia (Mg-PSZ),Traditional Ceramic,ZrO2,MgO,1700,5.74,"Magnesia partially stabilized, for high wear"
Zirconia (Ceria-Stabilized),Traditional Ceramic,ZrO2,CeO2,1550,6.1,"High toughness, low temp degradation resistance"
Silicon Carbide (Sintered),Traditional Ceramic,SiC,,2100,3.21,"High hardness, high thermal conductivity"
Silicon Carbide (Reaction Bonded),Traditional Ceramic,SiC,,1450,3.05,"Lower temperature process, contains free Si"
Silicon Carbide (Hot Pressed),Traditional Ceramic,SiC,,2000,3.25,"Dense, high strength"
Silicon Carbide (CVD),Traditional Ceramic,SiC,,1400,3.21,"Chemical Vapor Deposition, ultra-pure"
Silicon Nitride (Sintered),Traditional Ceramic,Si3N4,,1750,3.24,High strength and toughness
Silicon Nitride (Hot Pressed),Traditional Ceramic,Si3N4,,1800,3.28,"Superior properties, expensive"
Silicon Nitride (RBSN),Traditional Ceramic,Si3N4,,1400,2.5,"Reaction bonded, near-net-shape, porous"
Boron Carbide (B4C),Traditional Ceramic,B4C,,2200,2.52,"Extremely hard, lightweight, for armor"
Boron Nitride (h-BN),Traditional Ceramic,BN,,1800,2.1,"Hexagonal, lubricant, 'white graphene'"
Boron Nitride (c-BN),Traditional Ceramic,BN,,3000,3.45,"Cubic, superhard material, like diamond"
Aluminum Nitride (AlN),Traditional Ceramic,AlN,,1800,3.26,High thermal conductivity insulator
Titanium Carbide (TiC),Traditional Ceramic,TiC,,3000,4.93,"Very high melting point, cermet component"
Titanium Diboride (TiB2),Traditional Ceramic,TiB2,,2900,4.52,"Extreme hardness, conductive"
Tungsten Carbide (WC),Traditional Ceramic,WC,Co 6%,1400,15.63,"Extremely hard, dense, with cobalt binder"
Mullite,Traditional Ceramic,3Al2O3-2SiO2,,1800,3.17,"High-temperature strength, low thermal expansion"
Cordierite,Traditional Ceramic,2MgO-2Al2O3-5SiO2,,1400,2.51,Excellent thermal shock resistance
Spinel,Traditional Ceramic,MgAl2O4,,1600,3.58,"High hardness, good optical properties"
Forsterite,Traditional Ceramic,Mg2SiO4,,1500,3.21,High frequency insulator
Steatite,Traditional Ceramic,Mg3Si4O10(OH)2,,1300,2.75,Excellent electrical insulator
Urania (UO2),Traditional Ceramic,UO2,,1700,10.97,Nuclear fuel
Thoria (ThO2),Traditional Ceramic,ThO2,,2000,10.0,Highest melting point oxide
Hafnia (HfO2),Traditional Ceramic,HfO2,,2500,9.68,High-k dielectric
Barium Titanate (Pure),Functional Ceramic,BaTiO3,,1350,6.02,"Piezoelectric, reference"
Barium Titanate (Sr-doped),Functional Ceramic,Ba0.8Sr0.2TiO3,,1300,5.8,Strontium-doped for curie point shift
Barium Titanate (Ca-doped),Functional Ceramic,Ba0.9Ca0.1TiO3,,1320,5.9,Calcium-doped
Lead Zirconate Titanate (PZT-5H),Functional Ceramic,Pb(Zr0.52Ti0.48)O3,,1250,7.5,High piezoelectric coefficient
Lead Zirconate Titanate (PZT-4),Functional Ceramic,Pb(Zr0.52Ti0.48)O3,,1280,7.6,Hard PZT for high power applications
Lead Zirconate Titanate (PZT-8),Functional Ceramic,Pb(Zr0.52Ti0.48)O3,,1300,7.6,Very hard PZT for high power transducers
Lead Lanthanum Zirconate Titanate (PLZT),Functional Ceramic,"(Pb,La)(Zr,Ti)O3",,1200,7.7,Transparent ferroelectric ceramic
Zinc Oxide (ZnO),Functional Ceramic,ZnO,,1100,5.61,"Semiconductor, varistor applications"
Zinc Oxide (Al-doped),Functional Ceramic,ZnO,Al,1000,5.5,Aluminum-doped for transparent conductive oxide
Yttria-Stabilized Zirconia (8YSZ),Functional Ceramic,ZrO2,Y2O3 8mol%,1500,5.9,Solid oxide fuel cell electrolyte
Scandia-Stabilized Zirconia (ScSZ),Functional Ceramic,ZrO2,Sc2O3,1600,6.0,Higher ionic conductivity than YSZ
Bismuth Ferrite (BFO),Functional Ceramic,BiFeO3,,800,8.34,Multiferroic (ferroelectric & antiferromagnetic)
Sodium Bismuth Titanate (NBT),Functional Ceramic,Na0.5Bi0.5TiO3,,1150,5.99,Lead-free piezoelectric
Potassium Sodium Niobate (KNN),Functional Ceramic,"(K,Na)NbO3",,1100,4.51,Lead-free piezoelectric
Lithium Niobate (LiNbO3),Functional Ceramic,LiNbO3,,1200,4.65,"Optical, SAW devices"
Hydroxyapatite,Bioceramic,Ca10(PO4)6(OH)2,,1250,3.16,"Biocompatible, for bone implants"
Bioactive Glass (45S5),Bioceramic,SiO2-Na2O-CaO-P2O5,,1000,2.7,Bonds to bone
Silicon-doped Hydroxyapatite,Bioceramic,Ca10(PO4)6-x(SiO4)x(OH)2-x,,1200,3.2,Enhanced bioactivity
Tin Oxide (SnO2),Functional Ceramic,SnO2,,1400,6.95,Gas sensor material
Indium Tin Oxide (ITO),Functional Ceramic,In2O3,SnO2,1500,7.14,Transparent conductor
Titanium Dioxide (Rutile),Functional Ceramic,TiO2,,1400,4.23,"High refractive index, pigment"
Titanium Dioxide (Anatase),Functional Ceramic,TiO2,,900,3.89,Photocatalyst
Ferrite (MnZn),Functional Ceramic,MnZnFe2O4,,1300,5.0,Soft magnetic material for inductors
Ferrite (NiZn),Functional Ceramic,NiZnFe2O4,,1250,5.3,Soft magnetic material for high frequency
Garnet (YIG),Functional Ceramic,Y3Fe5O12,,1450,5.17,Microwave applications
SiC-Fiber/SiC-Matrix (CVI),Ceramic Composite,SiC,SiC Fibers,1100,2.8,"Chemical Vapor Infiltration, high temp structural"
SiC-Fiber/SiC-Matrix (PIP),Ceramic Composite,SiC,SiC Fibers,1200,2.6,Polymer Infiltration and Pyrolysis
C-Fiber/SiC-Matrix,Ceramic Composite,SiC,Carbon Fibers,1100,2.1,Good toughness and thermal shock resistance
C-Fiber/C-Matrix (C/C),Ceramic Composite,Carbon,Carbon Fibers,2000,1.9,"Brake discs, rocket nozzles"
Al2O3-Fiber/Al2O3-Matrix,Ceramic Composite,Al2O3,Al2O3 Fibers,1400,3.5,Oxide-oxide composite for oxidizing env.
Alumina-Zirconia (ZTA 10%),Ceramic Composite,Al2O3,ZrO2 10%,1600,4.1,Zirconia-toughened alumina
Alumina-Zirconia (ZTA 20%),Ceramic Composite,Al2O3,ZrO2 20%,1600,4.3,Higher toughness ZTA
Alumina-SiC Whisker (15%),Ceramic Composite,Al2O3,SiC Whiskers 15%,1800,3.8,"Whisker-toughened, high strength"
Alumina-SiC Whisker (30%),Ceramic Composite,Al2O3,SiC Whiskers 30%,1850,3.7,Higher whisker content
Alumina-Graphene (0.5wt%),Ceramic Composite,Al2O3,Graphene 0.5wt%,1600,3.97,Nanocomposite for enhanced toughness
Alumina-Graphene (1.0wt%),Ceramic Composite,Al2O3,Graphene 1.0wt%,1600,3.96,Higher graphene content
Zirconia-Toughened Alumina (ZTA),Ceramic Composite,Al2O3,ZrO2 particles,1650,4.2,Standard ZTA
Alumina-Toughened Zirconia (ATZ),Ceramic Composite,ZrO2,Al2O3 particles,1500,5.9,Inverse of ZTA
Si3N4-SiC Nanocomposite,Ceramic Composite,Si3N4,SiC nanoparticles,1750,3.25,Enhanced hardness and wear resistance
Si3N4-TiN Composite,Ceramic Composite,Si3N4,TiN particles,1800,3.4,Electrically conductive ceramic
WC-Co (6%),Cermet,WC,Cobalt 6%,1400,14.9,Standard cutting tool grade
WC-Co (12%),Cermet,WC,Cobalt 12%,1400,14.2,Tougher grade for impact applications
TiC-NiMo,Cermet,TiC,Nickel-Molybdenum,1450,6.5,Cermet for steel finishing
MAX Phase (Ti3SiC2),Novel Composite,Ti3SiC2,,1600,4.53,"Machinable ceramic, layered structure"
MAX Phase (Ti2AlC),Novel Composite,Ti2AlC,,1500,4.11,"Damage tolerant, thermally conductive"
MAX Phase (Cr2AlC),Novel Composite,Cr2AlC,,1550,5.3,Oxidation resistant MAX phase
MXene (Ti3C2Tx),Novel Composite,Ti3C2Tx,,25,4.0,"2D material derived from MAX phase, conductive"
Diamond-SiC Composite,Ceramic Composite,SiC,Diamond particles,1500,3.3,Superhard composite
B4C-TiB2 Composite,Ceramic Composite,B4C,TiB2 particles,2100,3.0,"Eutectic, high hardness"
Al2O3-Cu Interpenetrating,Ceramic Composite,Al2O3,Copper,1100,6.0,Interpenetrating phase composite
SiC-Al Interpenetrating,Ceramic Composite,SiC,Aluminum,700,2.9,"Lightweight, high stiffness"
Glass-Ceramic (LAS),Ceramic Composite,Li2O-Al2O3-SiO2,,1200,2.5,"Lithium-Aluminosilicate, low thermal expansion"
Glass-Ceramic (MAS),Ceramic Composite,MgO-Al2O3-SiO2,,1300,2.6,Magnesium-Aluminosilicate (Cordierite-based)
Zirconia-CNT (1wt%),Ceramic Composite,ZrO2,CNT 1wt%,1400,6.0,Carbon nanotube reinforced zirconia
Mullite-Cordierite Composite,Ceramic Composite,3Al2O3-2SiO2,2MgO-2Al2O3-5SiO2,1500,2.8,Composite with low thermal expansion
