material,abbrev,repeat_unit,formula_atoms,molecular_weight,category,biodegradable,environmental_persistence,persistence_score,toxicity,toxicity_score,notes,total_atoms,C_ratio,H_ratio,O_ratio,N_ratio,Cl_ratio
Polyethylene (LDPE),PE-LD,C2H4,"{'C': 2, 'H': 4, 'O': 0, 'N': 0, 'Cl': 0, 'S': 0}",28.05,Commodity Plastic,False,High,5,Low,1,"Most common plastic, very stable, takes 500+ years to degrade",6,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
Polypropylene (PP),PP,C3H6,"{'C': 3, 'H': 6, 'O': 0, 'N': 0, 'Cl': 0, 'S': 0}",42.08,Commodity Plastic,False,High,5,Low,1,"Second most common plastic, resistant to degradation",9,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
Polyvinyl Chloride (PVC),PVC,C2H3Cl,"{'C': 2, 'H': 3, 'O': 0, 'N': 0, 'Cl': 1, 'S': 0}",62.5,Commodity Plastic,False,Very High,5,High,4,"Contains chlorine, releases toxic compounds when burned",6,0.3333333333333333,0.5,0.0,0.0,0.16666666666666666
Polystyrene (PS),PS,C8H8,"{'C': 8, 'H': 8, 'O': 0, 'N': 0, 'Cl': 0, 'S': 0}",104.15,Commodity Plastic,False,High,5,Moderate,3,"Aromatic polymer, slow degradation, styrene monomer is toxic",16,0.5,0.5,0.0,0.0,0.0
Polyethylene Terephthalate (PET),PET,C10H8O4,"{'C': 10, 'H': 8, 'O': 4, 'N': 0, 'Cl': 0, 'S': 0}",192.17,Commodity Plastic,False,High,4,Low,2,"Common in bottles, takes 450+ years to degrade",22,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.0,0.0
Polylactic Acid (PLA),PLA,C3H4O2,"{'C': 3, 'H': 4, 'O': 2, 'N': 0, 'Cl': 0, 'S': 0}",72.06,Biodegradable Plastic,True,Low,2,Very Low,1,"Bio-based from corn starch, degrades in 6-24 months under composting",9,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.0,0.0
Polyhydroxybutyrate (PHB),PHB,C4H6O2,"{'C': 4, 'H': 6, 'O': 2, 'N': 0, 'Cl': 0, 'S': 0}",86.09,Biodegradable Plastic,True,Very Low,1,Very Low,1,"Bacterial polyester, degrades in weeks to months",12,0.3333333333333333,0.5,0.16666666666666666,0.0,0.0
Polybutylene Succinate (PBS),PBS,C8H12O4,"{'C': 8, 'H': 12, 'O': 4, 'N': 0, 'Cl': 0, 'S': 0}",172.18,Biodegradable Plastic,True,Low,2,Very Low,1,"Bio-based polyester, degrades in months",24,0.3333333333333333,0.5,0.16666666666666666,0.0,0.0
Nylon-6 (Polyamide),PA6,C6H11NO,"{'C': 6, 'H': 11, 'O': 1, 'N': 1, 'Cl': 0, 'S': 0}",113.16,Engineering Plastic,False,High,4,Low,2,"Contains amide bonds, more resistant to degradation",19,0.3157894736842105,0.5789473684210527,0.05263157894736842,0.05263157894736842,0.0
Polycarbonate (PC),PC,C16H14O3,"{'C': 16, 'H': 14, 'O': 3, 'N': 0, 'Cl': 0, 'S': 0}",254.28,Engineering Plastic,False,High,4,Moderate,3,"Contains BPA, controversial due to hormone disruption",33,0.48484848484848486,0.42424242424242425,0.09090909090909091,0.0,0.0
Polytetrafluoroethylene (PTFE/Teflon),PTFE,C2F4,"{'C': 2, 'H': 0, 'O': 0, 'N': 0, 'Cl': 0, 'F': 4, 'S': 0}",100.02,Engineering Plastic,False,Very High,5,Moderate,3,"Forever chemical, extremely stable C-F bonds",2,1.0,0.0,0.0,0.0,0.0
Cellulose Acetate,CA,C12H16O8,"{'C': 12, 'H': 16, 'O': 8, 'N': 0, 'Cl': 0, 'S': 0}",288.25,Semi-Biodegradable,True,Moderate,3,Low,1,"Semi-synthetic from cellulose, degrades in 2-5 years",36,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.0,0.0
Polyvinylidene Chloride (PVDC),PVDC,C2H2Cl2,"{'C': 2, 'H': 2, 'O': 0, 'N': 0, 'Cl': 2, 'S': 0}",96.94,Commodity Plastic,False,Very High,5,High,4,"Contains 2 chlorine atoms, used in cling film, toxic when burned",6,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
Polyurethane (PU),PU,C17H16N2O4,"{'C': 17, 'H': 16, 'O': 4, 'N': 2, 'Cl': 0, 'S': 0}",312.32,Engineering Plastic,False,Moderate,3,Moderate,2,"Contains urethane linkages, foam degrades but base polymer persists",39,0.4358974358974359,0.41025641025641024,0.10256410256410256,0.05128205128205128,0.0
Polymethyl Methacrylate (PMMA/Acrylic),PMMA,C5H8O2,"{'C': 5, 'H': 8, 'O': 2, 'N': 0, 'Cl': 0, 'S': 0}",100.12,Engineering Plastic,False,High,4,Low,1,"Transparent polymer, used in displays and optical applications",15,0.3333333333333333,0.5333333333333333,0.13333333333333333,0.0,0.0
